fluidify	积满液体
unpresented	未提出
overknee	过膝
respectively	各个地
habited	穿着法衣
auditorial	审计员
delegable	可委托的
conjecturable	可猜想的
representable	可被代表的
impurity	不洁
intravital	活体的
edging	边饰
deratize	消灭老鼠
exclamatory	感叹的
bhut	妖怪
seignorage	=seigniorage
comfort	舒适
inexplainably	难解说地
finish	磨光
damascene	大马士革
blastomycosis	芽生菌病
lumpenproletarian	流氓无产阶级
circumambiency	周围
mutarotation	变旋
flexional	可弯曲
smogbound	烟雾笼罩的
spoken	speak的过去分词
interception	中途夺取
maoist	毛主义的
sanctum	圣
agrostologist	禾本植物学家
uncharitable	不宽恕的
green	未成熟的
nuke	核潜艇
unintelligible	无法了解
acidulous	多少带酸味
outspread	扩张的
flickering	闪烁的
disapprobation	不赞成
counterpole	正相反之事物
cordial	诚恳的
figmentary	虚构的
disrespectful	无礼
devil	魔鬼
intoxicated	极其兴奋的
oa	Analysis
hunkers	腿臀部
nonaddicting	不致瘾
bedquilt	棉被
pe	产品工程
axman	樵夫
preclear	事先批准
dimorphic	二态的
element	元素
c	转交……
grizzle	灰发
unweakened	未减弱
neuter	中性
stairhead	楼梯顶
foundation	基金会
ineluctable	不可避免
downbent	向下弯曲
kyle	狭海峡
electrophysiological	电生理学的电生理学
belemnite	乌贼的化石
gymnocarpous	裸果的
allophonic	音位变体
universal	宇宙
ding	鸣
embedding	埋入
sententious	简洁的
elicitation	引出
machism	马赫主义
crawl	爬行
factionalize	使分成宗派
uninquiring	不打听
tasse	腿罩
theomorphic	神形的
quarenden	红苹果
residency	住院医生的职位
designatum	所指
clothes	家丑
bigeneric	属间杂交
qcb	Queue
festivity	欢庆
polytechnic	工艺
calligraphic	书法
ichthyolite	鱼化石
enneahedral	九角的
nephrocardiac	肾脏和心脏
hyacinthus	雅辛托斯
eventful	充满大事
tremissis	拜占庭帝国金币
manganate	锰酸盐
countable	可数的东西
israeli	以色列共和国
interproximal	邻接近端间
musculoskeletal	肌骨骼的
aquarius	宝瓶宫
fruit	结果实
basidium	芽孢台
sketch	草图
piliform	毛样的
base	基
roofless	无家可归的
needlewoman	缝纫女工
innocent	天真
generation	一代
loose	放纵
sonofabitch	bitch
sinnet	=sennit
aram	of
unearned	不相称的
rhythmizable	予以节奏的
gunpowder	黑色火药
enscroll	记在卷轴中
cragsman	善于攀登危岩和峭壁者
toxaphene	八氯莰烯
studious	认真
abacus	算盘
grum	闷闷不乐的
ashine	发亮
beetling	悬垂的
lack	缺乏
photonuclear	光致核反应
cobbler	皮匠
doormat	擦鞋垫
pterin	蝶呤
upper	上部
dogcatcher	捕狗人
esb	brain
programming	设计
reversion	归还
eagle	鹰
hiaa	of
procrastinate	耽搁
exponential	演奏者
psychophysiology	心理生理学
smell	气味
sterile	消过毒
septette	七重奏
overprice	索价过高
pious	尽责的
moxie	精力
miscarriage	流产
diapedesis	血球渗出
sob	呜咽
tiddled	微醉
comedown	丧失
surrealistically	超现实主义
yachtsman	游艇驾驶者
auxiliary	补助
icu	care
valueless	不足道
bemuddle	使迷惑
cachaca	巴西朗姆酒
aristocratism	贵族
spirituel	活泼
defective	有缺陷的人
twig	末梢
sniff	嗤之以鼻
vinton	文顿
wickmanite	羟锡锰石
semiofficially	半官方
albuminose	含白朊的
fugue	朦胧状态
joltheaded	笨人
underhand	秘密的
tourism	游览
bay	吠
chlamydate	有外壳的
entertainment	款待
sulfite	亚硫酸盐
scantily	缺乏
sheld	duck=shelduck
uddi	通用描述、发现和集成服务
haemolysis	血球溶解
lustful	淫荡的
legionary	很多的
squirish	适合乡绅身份
wulfenite	钼铅矿
puffy	一阵阵吹
bosun	水手长
labialise	=labialize
braille	用盲字印
opponent	对抗的
perplex	困惑
justificative	起辩护作用的
exploration	探险
semimoist	半潮
septangular	七角
thermit	铝热剂
ornamental	装饰性
subacid	略带酸味的
gypsy	象吉普赛人
enphytotic	植物恒定流行病
contingently	临时
saceur	Commander
transmission	传动
un	Nationals
abstemiously	有节制
rudderless	无指导者的
settleable	会沉淀的
yonker	=younker
authority	权力
prickle	刺
crowned	有王冠的
solatia	solatinm的复数形式
protonation	质子化作用
bmoc	校内大人物
perversive	颠倒的
confirm	给……行按手礼
accusatorial	责问
dreamfully	常易梦见
regional	地域性地
malease	=malaise
slack	使松弛
heimisch	朴实的
vly	=vlaie
succedaneum	代理者
curiousness	好奇
hortensia	霍滕西亚
currently	普遍
bedge	标记
dr	分布式刷新
irritating	使愤怒
bid	吩咐
usafe	United
unmoral	不道德
atomistics	核子物理学
authoritarian	独裁的
tympanist	管弦乐的鼓手
husband	丈夫
slow	迟钝的
special	特殊的
ormuz	=Hormuz
trailerable	可放在拖车上载运的
indecorous	不合礼节
incentive	激励
illegibly	难读
unredeemable	不能赎回的
detergency	去垢力
hemiparetic	偏身轻瘫的
carnassial	食肉
smackhead	海洛因瘾君子
schoolyard	运动场
vcd	Disc
fusionism	联合主义
expansion	膨胀
circular	通知
justificatory	用以辩解
melanosome	黑素体
sexcentenary	六百年的
clean	使干净
juvenility	年轻
feminism	女权运动
mungarian	匈牙利人
misapprehend	误会
eucharistic	圣餐的
paniculated	圆锥花的
zipless	短暂而猛烈
isotactic	全同立构
fiume	阜姆(南斯拉夫西北部港市里耶卡
laxness	弛缓
editorialist	撰写社论者
monadism	单子论
pedal	踩……的踏板
hemiterpene	半松油精
vermifuge	驱虫的
earliest	早
louise	路易丝
unavoidable	不可避免
demonian	疯狂
contiguity	邻近
franchise	特权
dns	Server
puffy	膨胀的
unperishing	=immortal
selected	经由选择
alarmable	会被惊恐
magnitude	大小
texturize	=texture
ansate	有把手
cfs	feet
speedwalk	电动人行道
tosspot	酒徒
haemagglutinate	血细胞凝集
stand	台
pine	树木
ier	乘数寄存器
tau	希腊语的第十九个字母
holme	=holm
wrinkle	使皱
innocency	洁白
messianic	救世主似
dairen	Dalian
farinose	产粉
grand	豪华
penetrable	可穿透
tablet	拍纸簿
mirthful	愉快的
routh	丰富
extrapolability	凭已有资料进行推断的能力
analogously	类似地
gbs	Shaw
appealing	哀诉似
incubus	沉重的负担
clinquant	仿金箔
jittery	神经过敏的
undersea	海面下的
expectorant	化痰的
purposeful	有目的的
paesano	同胞
perceptibility	可感知
kicker	爱发牢骚的人
register	注册
validate	确认
ajc	Jockey
tritiated	含氚的
seriously	真诚
robotism	像机械人的行为
icy	盖着冰的
recalcitrant	顽抗者
coupon	息票
wolflike	狼一般的
towardly	适宜的
eurytopic	广适性的
conjuration	祈祷
drakestone	石片
monopropellant	单一组分的喷气和燃料
dependency	从属物
scotticism	苏格兰语风
stowaway	匿身处
spellican	=spillikin
pygidium	臀板
clinicopathologic	/
uniaxial	单轴晶体
sinter	烧结物
rbs	Royal
response	响应
beltsville	Small
untruss	使脱开
arthropod	节肢动物
tumour	肿块
mulla	毛拉
legatary	遗产承受人
legiron	脚镣
sapient	自以为聪明
chicalote	阔果蓟罂粟
juggle	耍弄
treacle	甜蜜
ata	Attachment
breadwinner	负担家计的人
pythiad	皮提亚德时期
whitehanded	两手雪白
rivalship	对抗
flocculent	覆以绒毛
fertilizable	可受精的
epileptoid	癫痫
pontiff	主教
aflatoxin	黄曲霉毒素
cuprous	一价铜
modacrylic	人造纤维之一种
unphysiological	生理上不健全
viscountcy	头衔等
assr	苏维埃社会主义自治共和国
redesign	重新设计
nosocomial	医院
undernourish	使吃不饱
biostrome	生物层
bivouacking	bivouac的现在时
openhearted	不隐瞒的
fogging	雾化
rustically	乡土气
fleckless	完美
heroon	庙形坟墓
thermosetting	热硬化性的
triclinic	三斜
subsea	海底的
gnosticism	诺斯替教
auditor	核数师
logos	理性
lollypop	糖果
switch	开关
linalool	芳樟醇
inconveniency	=inconvenience
osteological	骨学的
keltic	凯尔特族
typhogenic	引起斑疹伤寒的
cystine	胱氨酸
prattle	闲聊
tryout	预演
cornily	粗野
underseas	海底
kue	英文字母q
extractable	可拔出的
tentaculiferous	具触手的
isolead	curve等提前量曲线
schradan	八甲磷
dolman	女斗篷
unintelligent	缺乏才智
cranky	任性的
hydrofluoric	氢氟酸
goldbrick	称病
rsgb	Radio
buffo	滑稽的
catamnestic	诊后病历
uncorrupt	纯正的
break	折断
pollywog	首次越过赤道的海员
ratguard	板
paranoea	偏执狂
inflorescent	开花的
secretively	稳秘
semiskilled	半熟练的
sly	狡猾
executor	被指定遗嘱执行者
like	同样的人
quadruply	四倍地
transformation	转换
lecithin	卵磷脂
lambda	11个字
weather	经受风雨
vacillation	摇摆游移不定
venostasis	静脉郁滞
overwore	overwear的过去式
raven	掠夺
betelgeuse	猎户星座中的一等星
electrotypist	电铸术
malnutrition	营养不良
smoky	烟状的
whisk	迅速移动
meliaceous	楝科的
technology	工艺
gauchesco	加乌乔诗体的
pellucidly	易懂地
indistinction	不确定
susceptive	有接受力的
sebaceous	脂肪
frithstool	平安座
xylocarp	硬木质果树
anticlastic	互反
jag	戳
totipalmation	全蹼
scoresheet	记分单
founder	破坏
calcrete	钙质结砾岩
squamulose	有小鳞片
abducent	向外扩展的
declamatory	朗读式的
compartmental	区划的
confidently	信赖地
ultraviolation	紫外线辐射
hypnopaedic	睡眠教学法的
enclave	被包围的领土
phosphureted	与磷化合
furthermore	此外
voyageable	能航行的
undersexed	性欲淡泊的
yield	产量
stuggy	健壮的
infamy	声名狼藉
eulogia	圣餐
decasualize	减少临时工人
unfelt	无感情的
zigzag	曲折
maund	重量单位
extinguish	消灭
sequential	连续
rechristen	再次施洗礼
sauger	大眼鰤鲈
upriver	从上游
nightwork	夜间工作
unmelodious	音调不悦耳
reread	重读
snakewood	蛇纹树
blowzy	不整洁的
semicontinuous	断断续续的
vasculitic	血管炎
social	爱交际
welsh	不付赌金而溜掉
heterogametic	形成两种胚细胞的
seam	发生裂痕
vagarious	越出常规的
hygroscopic	吸湿的
patter	使发嗒嗒声
crabbed	难懂
bombload	飞机炸弹装载量
liquid	清澈
hyperacid	酸过多的
voodoo	施伏都巫术迷惑
housebroken	有礼貌的
carman	运货马车的车夫
c	C语言
decayed	烂了的
scarce	不充足的
algebraize	用代数解答
chatelain	城堡主
skirt	环绕
undulated	波形的
hydrochloric	盐酸的
fleuret	小花
unreason	无理性
mantelletta	无袖法衣
tyrannically	专横地
lousy	生虱
liquorish	美味
poetess	女诗人
menstruate	月经期间
genocidal	种族灭绝
diachylon	铅膏
diacritical	为区别
unlike	不相似
grave	严重的
pettifogging	欺骗
manipulator	操作者
naima	奈玛
execute	处死
shakeout	股票市场震动
outback	在内
contrariously	相反
turbofan	扇喷射
comments	注解
cyclostomatous	圆口动物
impressionistic	印象派的
celeb	名人
blesbuck	=blesbok
campanulaceous	风轮草属的
flexuose	弯曲的
slinky	偷偷摸摸
alcestis	阿尔刻提斯
essentiality	本质
broking	做经纪的
rampant	跛拱的
biliteral	由两个字母组成的
pursy	肥胖
dissolvent	有溶解力
agley	斜斜
armamentarium	全部设备
regnum	统治
azinphosmethyl	谷硫磷
endostea	endosteum的复数
jiminy	温和的惊讶
videogenic	适合电视
precolonial	殖民地时期前
eunomic	守法的
renitent	顽强的
register	寄存器
gastroscopy	胃镜检查法
tuffaceous	凝灰质
whimsical	古怪的
mesenchymatous	间叶细胞样的
exdividend	除般息地
westwood	美国著名游戏软件公司
bicorporal	有两个身体的
borough	自治的市镇
purl	金银丝
unsicker	靠不住
genuinely	诚实
anathemata	革出教门
packery	=packinghouse
artisan	工匠
eighthly	第八
archeozoic	太古生代
pumice	磨光
numerously	多数
shaven	削发
moslemic	伊斯兰教义
oppressively	沉重
areological	火星科学研究
fodder	饲料
austroasiatic	南亚语系
kiddywinkle	=kiddywink
pithless	无髓的
emanate	发散
sulphadiazine	磺胺嘧啶
neurotoxin	神经毒素
spark	发火花
rockered	圆底的
statutable	法令的
manipulable	可操纵自如的
cannibalize	调拨……的人员
incommunicative	不爱说话
amazonian	刚勇好战
coloratura	花腔音的
upya	操你妈
tetrastich	四行诗节
monorail	单轨铁路
rename	改名
abortively	流产地
fertilizable	可施肥的
stuffing	填塞料
redoubtable	可怕
phenylethylamine	乙胺
economist	经济学者
dyeline	重氮复印法
normally	通常地
tubal	输卵管的
acclamation	喝彩
pumiceous	象轻石的
degrading	不名誉
mutule	飞檐托块
someplace	在某处
acajou	桃花心木
duumvir	共同担任同一职务的两官吏之一人
unadaptable	不能改编
sidebums	鬓角
indocile	难驯服
essentiality	本性
collarless	无领的
outvote	以票数胜过
overdramatize	过分戏剧性地表达
antiterrorism	反恐怖主义
awane	减弱中
clavated	一端膨大
deflection	偏差
project	放映
keratoid	角状
chalklike	似白垩的
calculated	计算出
dprk	Democratic
distobuccal	远中颊的
hooker	渔船
textile	纺织品
spilosite	绿点板岩
convinced	深信的
plangent	轰鸣
nephrotic	肾病的
mystagogical	解释神秘的
gloam	薄暮
housewifery	家事
ambassadorial	大使
lyricize	写抒情诗
coarctate	压在一起
animality	动物界
condemned	被宣告有罪
cynosural	引人注目
ulterior	隐蔽的
federate	联合
diversion	娱乐
wholesale	批发的
equalitarian	平均主义
ergosome	多核蛋白体
presbytery	长老会辖区
baize	粗呢
footy	无足轻重的
destructuralize	拆开
illusory	虚假
reprehensible	应斥责
laminated	层积的
unmeditated	未预谋
iyft	信息随手可得
karachai	卡拉柴人
enshrine	铭记
arsenious	含砷的
midianite	米甸人的
impure	不纯的
banderilla	斗牛用的带有倒钩的短标枪
vtech	伟易达集团
perforce	必然
larn	学
spavined	跛的
inelasticity	无伸缩性
fast	耐久的
unfoiled	未被击退的
cankerworm	尺蠖
goalkeeper	守门员
tungusic	通古斯满语族
nocardia	土壤丝菌属
strictly	严格
latex	乳汁
cocker	溺爱
datto	菲律宾摩洛族之酋长
dynast	统治者
refrigerate	使清凉
sapped	受冰川作用侵蚀的
upbraiding	谴责的
aesthetics	美的哲学
feudally	如封建地
stalactical	钟乳石
topnotch	最高度
khud	绝壁
lipase	脂肪酶
crosswind	侧风
ceremony	典礼
wellsite	钡钙十字石
corporativism	=corporatism
salpingography	输卵管造影术
shivery	易碎成片状
protactinium	镤
imaginably	想象得出的
landsraad	立法会议
lye	碱液
birdcall	鸟叫声
sabot	木鞋
telocentric	具端着丝粒
tinsmith	洋铁匠
inlet	小港
mussily	乱七八糟
idle	浪费
smudge	污迹
static	静电噪声
auntie	姑妈
talc	用滑石粉处理
proletcult	无产阶级文化
atomarium	原子研究设备展览室
cocarboxylase	脱羧辅酶
nuraghe	古代塔状建筑物
papillary	乳头状突起的
female	柔弱的
fallow	潜伏发
inutterable	=unutterable
wishfully	希望
stress	压力
monchiquite	沸煌岩
anilin	苯胺的
sear	干枯
yap	废话
falconiform	隼形目
levitate	飘浮空中
wsb	工资稳定委员会
disciplinarian	训练的
glidingly	流畅地
one	pro
hematemesis	吐血
tubulate	制成管状
vicarial	代理教区牧师职务的
children	孩子们
littleness	些许
cassandra	卡珊德拉
chrysalis	茧
anestrous	不动情期
standard	规格
regimen	摄生法
pagandom	无宗教信仰的人们
preovulatory	排卵期前的
templar	圣堂武士
sultrily	酷热地
aggradation	沉积
coincident	一致
extramarital	私通
overchurched	设有过多教堂
nds	Services
effusive	流出
convention	协定
piss	撒尿弄湿
graniferous	结粒状之实
salient	凸角
mcpo	Petty
unburned	未燃
mound	护堤
kissableness	美丽而令人想吻的人
caragana	锦鸡儿
tinny	含锡
replay	重放
disobedience	违抗
gulosity	饕餮
some	有些
sorrowful	悲伤
sneak	暗中进行的
gherao	挟持雇主
vacate	空出
creamwove	米色布纹纸
yuchi	优奇人
supersubstantial	超实体的
unmerited	不配
procuratorial	代理人
irreclaimable	不能开垦
countermand	反对命令
still	静态图片
besot	使烂醉
drossy	碎屑的
skeletony	骨瘦如柴的
chloroethylene	氯乙烯
cheiromancy	=chiromancy
everlasting	耐用
prettiness	可爱
railway	铁路
balboa	巴拿马的银币
sore	痛心的
exactness	精确
wander	迷路
palmiped	蹼足
bill	议案
tripleheaded	有三个头
scape	景色"之义
unpersuaded	不被说服的
vespertilionine	蝙蝠科的
replace	替换
minorca	地中海西部岛屿
nllst	Library
fire	闪光
josh	无恶意的戏谑
conchae	贝壳状结构
force	强制
semiabstract	半抽象的
cubage	体积
bravely	勇敢
fid	厚片食物
thalassocrat	海上霸王
abmigration	反常迁徙
bandersnatch	行动粗鲁者
canadien	法裔加拿大人
indiscretionary	卤莽
homopolar	单极
vxd	Device
redistribution	重新分配
wizzled	干瘪的
baotou	包头
tinderbox	易燃物
ganglionic	神经节
geometrist	几何学家
intranquil	不安的
physiognomy	人相
prairillon	小草原
pondfish	池塘鱼
languishing	渴望的
fwpca	Federal
bfr	Run
replacement	移位
banausic	实用
otherworldly	修来世
haematogenous	生血的
redivious	复活的
dunghill	脏物
stormy	激烈
mhs	Service
septicaemic	败血病
fleetingly	飞快
laicize	凡人化
corrupt	堕落
flooding	变色
scoop	铲子
fauna	动物志
inboard	在向内
diopter	屈光度
mbfr	Balanced
torte	德国大蛋糕
scientifically	按科学的方法
rdc	District
nitty	多虱卵的
borrowed	借来的
bate	减弱
regionalize	分成地区
lex	法律
lilied	多百合花
jumbled	混乱的
venturesomely	卤莽地
distortedness	被曲解
rhinoscopy	照鼻镜检查
humous	腐殖土
geegee	马
arcaded	成为拱廊街道
lick	征服
playboy	花花公子
strophe	诗节
sedentariness	久坐
embrocate	涂擦药液
nes	别处不作说明
cardfile	卡片盒
title	资格
virilocal	居住在男方的
stabbing	伤感情的
suberic	软木的
pediococcus	足球菌
amaranth	紫红色
ceilinged	有天花板的
feculent	臭
ega	增强型图形适配器
horseless	自行推进的
bellicism	好战性
bulwark	防波堤
woody	木本的
effulgent	光辉灿烂的
plerocercoid	裂头蚴
lude	安眠酮
hydromel	蜂蜜酒
unreligious	与宗教无关
corel	加拿大Corel软件公司
gutta	滴
iadl	International
salvationist	救世军的
pledge	誓言
stony	无情的
unknown	不知道
braver	勇敢的
hatting	制帽
water	含水的
escapism	空想
kampala	坎帕拉
avulsed	被撕开的
recklinghausen	雷克林豪森
regalist	王权至上主义者
purchaseless	无紧缠力的
hotblood	热情者
purchaser	购买者
plump	扑通声
unambiguous	不含糊的
npv	present
maximum	最高的
impressive	给人深刻印象
ovolo	圆凸形线脚装饰
bough	大树枝
appetence	本能
tightfisted	吝啬
vulnerary	医治创伤
skilful	巧妙的
thermostable	耐热
giurgiu	朱尔朱
radiopacity	辐射不能透过
fleshy	肉质的
whereof	以什么
tributary	附庸的
intragalactic	银河系内
inferior	自卑的
bugs	疯狂
embryogenesis	胚胎发生
knockabout	喧闹的
stolidly	神经麻木
eared	有穗
girondist	党
talari	埃塞俄比亚元
impotence	无效
fisher	渔夫
utopiate	欣快剂
asepsis	无菌
shakily	不稳定地
cinquain	五个的一组
pilaster	壁柱
rented	租金
cocktail	开味食品
scot	分摊财政负担
adumbrative	暗示的
marshy	湿软
featherheaded	轻率的
latchstring	栓锁带
seedily	不体面地
circs	情况
instance	建议
humper	保险杆
alien	不同
chyack	=chiack
letdown	失望
hokey	虚情假意的
substance	实质
personalize	人格化
hypnopompic	半有意识状态的
introductive	前言
doing	活动
superhigh	超高
luddism	劳工运动
sunlit	被日光照射了的
micrograph	显微图
christianly	有基督徒性质
enlarging	扩大
profitability	收益性
mirable	美妙的
jiggered	''damned''
taa	Technical
vociferate	喊叫
overcaution	过分谨慎
baculine	棒的
tertio	第三
affect	影响
raiser	提出者
dally	玩弄
tap	轻打
excusably	可辩解
goldman	高曼
lean	倾斜
septuple	乘以七
puristical	用语简洁的
collocable	可组合的
trijugate	具三对羽片
preciously	昂贵
minification	缩率
lative	方向格
erotica	色情作品
contrived	做作的
secta	审理中的案件
zoetic	有生气
anuric	无尿的
trophoblast	滋养层
chou	甘蓝
recognition	识别
accustomed	通常
dunt	陶器的裂痕
transpire	泄露
ectozoic	体表寄生虫的
coiffeuse	女理发师
aerodynamics	气体力学
ccco	Objectors
unkennel	出洞
zanu	Zimbabwe
polarograph	极谱记录仪
mode	方式
postimpressionism	后期印象派/ist/9pEJstIm`preFEnIst/
rejuvenescent	返老还童的
deliberation	考虑
vitellin	卵黄磷蛋白
dominant	显性的
vasoactive	作用于血管
hitfest	有多次安打和跑垒的棒球比赛
acaleph	水母
kasbah	城
divorce	脱离
taproom	酒吧
gliding	滑行的
damned	糟透的
troop	多数
clabber	发酵奶
mohammedan	伊斯兰教的
carping	挑毛病
vaccine	牛痘
baseborn	庶生
fishwoman	女鱼贩
friendship	友好
legpuller	恶作剧者
saran	莎纶
cattalo	杂种牛
gurry	鱼下水
ovariectomize	切除……的卵巢
ade	果汁饮料
serific	制丝
tearaway	行为鲁莽
fsb	Front
holand	荷兰
mre	Master
calx	矿灰
crackpot	怪人
neoromanticism	新浪漫主义
deliberately	故意
handled	有把柄
hexameral	=hexamerous
webbing	结实的带状织物
gasworks	煤气厂
canulate	管状的
farmworker	雇农
endochondral	软骨内的
mow	刈
oppressive	难以忍受的
unreasonable	不切实际
swarthy	黑黝黝
unselfishness	慷慨
neutrodyne	中和接收法的
commit	答应负责
kris	波壮刃短剑
tetrapetalous	四花瓣
dragline	牵引绳索
magnetotactic	有磁趋向性的
soldiership	军事手腕
english	英格兰
flocculent	絮凝
pize	打
scholastic	学者的
monial	=mullion
wardenry	典狱长
smaltite	砷钴矿
belvedere	望景楼
billionaire	亿万富翁
certain	pro
plated	装甲
puppyish	小狗天性
soaraway	腾飞
ruhmkorff	伦可夫感应线圈
southpaw	用左手
seed	原由
extemporal	无准备
retinalite	蛇纹石
unissued	未发行
successive	连续的
kirghiz	吉尔吉斯语
radian	弧度
boise	博伊西
burthen	负荷
caecotomy	盲肠切开手术
nethermore	较低的
baneful	使人苦恼的
destruct	破坏
cinchona	金鸡纳树
acidic	酸的
ignorant	无知的
skyphone	空中电话
recapitulatory	着重阐述要点
eeoc	Opportunity
convolve	卷
phosphoric	含磷的
yuchi	优奇族
hypergolic	自燃
reaction	反动
sericulturist	养蚕业者
inartistic	非艺术
kraal	牛栏
sparkish	美男子般
volva	菌托
knowledgeble	博学的
groundless	没有理由的
chasseur	猎师
bottom	底
mediate	作为引起……的媒介
cleistogamous	闭花受精
garp	Global
wastepaper	废纸
stripy	有斑纹
pushing	有冲劲的
instant	速溶的
ideographic	表意字构成的
finely	细微地
ivorian	象牙海岸的
needlecraft	裁缝
rainbird	报雨鸟
hitlerite	希特勒主义者
level	使同等
planting	栽培
zodiacal	黄道带
surrey	萨里式游览马车
estrange	疏远
opsonin	调理素
augment	增加
piperaceous	胡椒科的
digitorium	手提键盘
kettle	鼓
diablo	一个著名游戏的名称
phospholipin	磷脂
spirochaetal	由螺旋体引起的
leachable	可滤去的
retinaculum	着粉腺
boa	女用毛皮
fibulae	搭扣
fluctuant	起伏
laevorotary	=laevorotatory
vulnerable	易受攻击
rainwater	软水
smokebell	灯罩
veda	吠陀经
draper	衣料织品商
starveling	挨饿的
polycystic	多囊
technicalization	技术化
didymous	成对
flaked	睡去的
vibrato	颤音
tritiated	含氚
prongy	有尖齿
par	标准的
tranquillizer	镇定剂
snye	支航道
thermal	热的
ms	Military
photographer	摄影师
uncivilized	未开化
forementioned	上述的
misanthropic	憎恶世人的
tyrolite	铜泡石
agonistic	论争的
chromoprotein	色蛋白
employment	雇用
mexico	墨西哥
recordation	记载
centigram	厘克
interfix	相关
hyperpyrexia	高烧
jokey	滑稽的
wizardly	神奇的
field	野外
fluty	似笛声的
napa	=nappa
rainless	无雨
saturnian	农神的
renominee	再次被提名者
mhg	Middle
natsopa	of
reinstitution	重新建立
pasteurism	巴氏杀菌理论
electrolysis	以电针除痣
break	突变
sjc	Supreme
eclipse	引起月蚀
yewen	用紫杉木做
infrangibility	不能破坏
inesculent	不可吃
vapor	使蒸发
topotype	地模标本
disciplined	遵守纪律
complementarity	补足
pelletize	把……制成丸
gallionic	不问事
syndrome	综合病症
unjustifiable	无法辩护
ceuca	Central
sanandaj	萨南达杰
exopoditic	外肢节
arrisways	斜
superabound	有余
liquid	液体
anion	阴离子
enfeoff	转让
sinistral	用左手的
castigatory	惩罚
path	小路
relatival	关系代名词
cannibalize	调拨人员
unread	没有人看
struck	受罢工影响
barnacles	眼镜
castalian	诗之泉的
epson	日本爱普生科技公司
phosphorolysis	磷酸解
cryptozoic	生于偏僻地区的
brimstony	似地狱的
vernal	春天发生的
collarless	无领
scottishry	苏格兰民族性
tarantula	狼蛛
photoelectrode	光电极
exception	除外
monotechnic	单科
communist	共产党员
distributively	分发
meliorable	可改进的
tensity	紧张
alod	=allodium
wae	无线应用环境
somniferous	使爱睡的
accomplishable	可达成
plywood	合板
outwent	outgo的过去式
yanomamo	雅诺马马人
incalculably	不可胜数地
drop	滴下
pacchionian	Pacchionian
nonboarding	不供膳宿的
venusian	金星的
butler	仆役长
qualify	具有资格
powerful	强大的
stentorian	声音洪亮
gumshoe	悄悄走
hound	使追逐
implausibility	难信的
dab	轻拍
foozle	笨拙地做
jumbotron	超大屏幕
foreordination	宿命
antipathic	反对倾向
chuckawalla	=chuckwalla
terminable	可终止的
stouthearted	大胆
outbound	开往外地的
trigeminal	三叉神经的
dab	涂
guyanese	圭亚那的
elevated	严肃的
pcav	Angular
ilk	相同的
crmp	Police
ketoglutarate	酮戊二酸盐
leukopoietic	白血球形成的
backing	赞助者
concentric	同中心
rda	推荐的日摄食量
cultipacker	碎土镇压器
cassis	产于欧洲的黑醋栗
castellar	似城堡
acoustics	声学
imaginatively	想象上地
economy	经济
maxi	长大衣
diastyle	长距列柱式的
church	教派
noisome	有毒的
potestas	字母的音位值
asthenic	虚弱的人
otolaryngology	耳鼻喉学
exit	退出
uplighter	向上的照明器
lounger	懒人
volitive	表示意志
baniyas	巴尼亚斯
aerosinusitis	高空鼻窦炎
ppm	每一分钟内可以打印的页数
genocidal	集团屠杀的
unsling	解开……的吊索
gradual	逐渐
coversed	sine
delicate	棘手的
thanatophidia	毒蛇
changeably	可变
willem	Silent)
saucer	碟子
scream	尖声叫
rightward	在右侧
supererogation	额外的努力
fissiparous	有分裂能力的
sapraemia	腐血症
ethiopia	埃塞俄比亚
globoid	球状体
semiprofessional	半职业性
length	长度
uncondescending	不屈尊的
phoebus	日神
separator	隔离物
divvy	分摊
causationist	相信宇宙因果律的人
dais	台
hydrastine	黄连碱
inapprehension	不能理解
incorporation	形成法人组织
pregenital	性器官发育前
accession	就职
cunctation	迟延
teacherless	无教师的
flimsy	不足信的
phenix	凤凰
naturopathic	自然疗法的
pronounced	显著的
causal	表示原因的词
iceman	送冰人
waltz	迫使前进
enterprise	计划
squawkbox	通话盒
tyre	轮胎
pathlet	小道
indisciplinable	难以驾驭的
fuck	诅咒
alarmedly	惊慌
sickly	有病的
johnsonian	约翰逊流派的
splodgy	有污垢的
clasp	钩
equipe	运动队及其装备
mirable	美妙
fame	传闻
yes	是
quercine	栎木制的
feastful	祝宴
saucerian	飞碟的
reconveyance	取回
hearsay	谣言
newsmaker	制造新闻的事件
flimflam	胡说的
plankton	浮游生物
pushily	粗鲁
metamorphism	变质
preferential	优先的
bighearted	慷慨的
inexplorable	无法探险的
screenwasher	挡风玻璃自动清洗器
nlaa	Legal
crankpin	曲柄针
flocculent	覆以绒毛的
appendiculate	附着的
goodman	主人
draughtsman	国际象棋的棋子
plashy	潮湿
drummer	旅行推销员
paraboloid	抛物面
radar	雷达
hygiene	卫生学
darkling	令人可怕的
viniferous	产葡萄酒
mirex	灭蚁灵
hesitation	踌躇
protect	/
thoroughly	十分地
naziism	德国国家社会主义
spile	木桩
ingenious	精制的
premature	太早的
manama	麦纳麦
firewater	火酒
tabby	起波纹
quip	嘲弄
ashes	灰烬
namaskar	=namaste
reimport	再输入
endobiotic	体内生的
subdivisible	可以细别的
nontelevised	不看电视的
diabetes	多尿症
osteological	学的
whizz	飕飕作声
brocaded	用浮雕法织锦的
